id,state,scheme_name,eligibility,benefits,performance_metric
1,Nationwide,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),"All small and marginal landholder farmers with cultivable land up to 2 hectares as per land records of the concerned State/UT. Excludes institutional land holders, farmer families holding constitutional posts, serving/retired officers, pensioners with Rs 10,000+ monthly pension, income tax payers, professionals like doctors/lawyers.","Financial support of Rs 6,000 per year, payable in three equal instalments of Rs 2,000 each, directly transferred to the farmer's bank account to supplement income for procuring inputs and household needs.","Total beneficiaries: ~10.697 crore farmers (as of 05.01.2021); Funds disbursed: ₹1,14,743.289 crore (as of 05.01.2021). State-wise beneficiaries available (e.g., Uttar Pradesh: 1,20,97,299 as per Dec 2020-Mar 2021 data)."
2,Nationwide,Pradhan Mantri Kisan MaanDhan Yojana (PM-KMY),"Small and marginal farmers aged 18-40 years with cultivable land up to 2 hectares. Voluntary and contributory scheme, subject to exclusion criteria similar to PM-KISAN.","Assured monthly pension of Rs 3,000 after attaining 60 years of age. Central Government matches the farmer's contribution (Rs 55 to Rs 200 per month based on age).","Registered beneficiaries: 21,11,317 (as of 05.01.2021)."
3,Nationwide,Pradhan Mantri Fasal Bima Yojana (PMFBY),"All farmers growing notified crops in notified areas, including loanee and non-loanee farmers.","Comprehensive crop insurance against non-preventable natural risks from pre-sowing to post-harvest. Low premium rates: 2% for Kharif, 1.5% for Rabi, 5% for commercial/horticultural crops. Claims paid directly to bank accounts.","GoI expenditure (2019-20): ₹12,638.32 crore; (2020-21 as of 31.12.2020): ₹9,799.86 crore. Coverage (All-India, 11.01.2021): 27,02,100 applications; 235.65 lakh ha area. Claims paid: ₹90,180 crore (since inception). COVID-19 beneficiaries: 69.70 lakh farmers."
4,Nationwide,Kisan Credit Card (KCC) Scheme,"All farmers - individuals/joint borrowers who are owner cultivators, tenant farmers, sharecroppers, or self-help groups.",Short-term credit for crop production and allied activities at low interest rates (4% effective with timely repayment). Limit up to Rs 3 lakh with flexible repayment terms.,"Active beneficiaries: 6.86 crore. New sanctioned (since Feb 2020): 167.67 lakh. Interest subvention (2019-20): ₹16,218.75 crore; (2020-21 as of 11.01.2021): ₹12,744.11 crore. Total agri-credit (up to Nov 2020): ₹9,73,517.80 crore."
5,Nationwide,Pradhan Mantri Krishi Sinchai Yojana (PMKSY),"All farmers, with priority to small and marginal farmers.",Improved irrigation coverage ('Har Khet Ko Pani') and water use efficiency ('More Crop Per Drop'). Subsidies for micro-irrigation systems like drip and sprinkler (up to 55% for small farmers).,"Micro-Irrigation Fund loans approved: ₹3,955.33 crore; Released: ₹1,754.6 crore. Per Drop More Crop (2015-16 to 2020-21): ₹1,346.38 crore; Micro-Irrigation coverage: 50.11 lakh ha (2015-20)."
6,Nationwide,Soil Health Card Scheme,All farmers.,Soil testing every 2-3 years to provide nutrient status and recommendations for balanced fertilizer use. Helps in reducing costs and improving yield.,"Cycle 1 (2015-17): 10.74 crore cards distributed. Cycle 2 (2017-19): 11.83 crore cards. 2019-20 pilot: 18.19 lakh cards. 2020-21: 44,048 demonstrations, 18,708 trainings. Funds (2020-21): ₹116.03 crore."
7,Telangana,Rythu Bandhu Scheme,Land-owning farmers of Telangana with valid land records and Aadhaar.,"Rs 10,000 per acre per year for cultivation expenses. Around 70 lakh farmers benefited.",No specific performance metric found in the referenced data for this state scheme.
8,Andhra Pradesh,YSR Rythu Bharosa,"Small and marginal farmers, including tenant farmers with Aadhaar-linked bank account.","Rs 13,500 per year (including PM-KISAN share). Over 50 lakh farmers benefited.",No specific performance metric found in the referenced data for this state scheme.
9,Odisha,KALIA Scheme,Small and marginal farmers; landless agricultural households.,"Rs 10,000 per family per year. Around 60 lakh farming families benefited.",No specific performance metric found in the referenced data for this state scheme.
10,Madhya Pradesh,Mukhyamantri Kisan Kalyan Yojana,Registered farmers of Madhya Pradesh who are active PM-KISAN beneficiaries.,"Rs 4,000 per year (in addition to PM-KISAN). Around 80 lakh farmers benefited.",No specific performance metric found in the referenced data for this state scheme.
